Angle	Frequency	RCS	EsX.real	EsX.imag	EsY.real	EsY.imag	EsZ.real	EsZ.imag	JX.real	JX.imag	JY.real	JY.imag	JZ.real	JZ.imag
0.00	7.1500	1.802119	4.628138e-02	3.440381e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.2000	0.884201	1.649550e-01	2.652094e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.2500	-0.822187	2.175813e-01	1.360542e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.3000	-3.353295	1.916051e-01	7.396188e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.3500	-6.558923	1.092414e-01	-7.510944e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.4000	-9.628940	1.488109e-02	-9.190266e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.4500	-11.599270	-4.779500e-02	-5.676248e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.5000	-13.776973	-5.730104e-02	-7.181018e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.5500	-19.752807	-2.368746e-02	1.677161e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.6000	-23.174439	1.864296e-02	-5.964075e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.6500	-11.725197	3.055490e-02	-6.644826e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.7000	-6.650349	-1.010670e-02	-1.307931e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.7500	-3.655256	-9.594683e-02	-1.584041e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.8000	-1.799390	-1.929880e-01	-1.238520e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.8500	-0.728116	-2.575433e-01	-3.107668e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.9000	-0.295750	-2.582853e-01	8.733513e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	7.9500	-0.475317	-1.922560e-01	1.853790e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.0000	-1.341781	-8.677641e-02	2.256028e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.0500	-3.108670	1.355142e-02	1.967587e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.1000	-6.299108	6.804486e-02	1.184420e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.1500	-12.586777	5.866888e-02	3.073118e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.2000	-20.787802	-2.869671e-03	-2.560319e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.2500	-10.177682	-8.272450e-02	-2.820284e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.3000	-5.845747	-1.428002e-01	1.788290e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.3500	-3.859843	-1.595141e-01	8.529188e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.4000	-3.255032	-1.339543e-01	1.402314e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.4500	-3.740319	-8.873065e-02	1.604970e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.5000	-5.154381	-5.383047e-02	1.462466e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.5500	-6.853022	-4.937140e-02	1.182658e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.6000	-6.805837	-7.445759e-02	1.051657e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.6500	-4.586702	-1.078379e-01	1.266809e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.7000	-2.243259	-1.196987e-01	1.820635e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.7500	-0.552025	-8.809324e-02	2.496368e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.8000	0.469613	-1.123735e-02	2.975543e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.8500	0.912678	9.071669e-02	2.999306e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.9000	0.846545	1.851587e-01	2.498406e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

0.00	8.9500	0.300051	2.425915e-01	1.625397e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.844171e+01	0.000000e+00	0.000000e+00	0.000000e+00	-2.175351e+00	0.000000e+00

